PARENT,CHILD,ITEM
Bulbasaur,Bulbasaur,
Ivysaur,Bulbasaur,
Venusaur,Bulbasaur,
Charmander,Charmander,
Charmeleon,Charmander,
Charizard,Charmander,
Squirtle,Squirtle,
Wartortle,Squirtle,
Blastoise,Squirtle,
Caterpie,Caterpie,
Metapod,Caterpie,
Butterfree,Caterpie,
Weedle,Weedle,
Kakuna,Weedle,
Beedrill,Weedle,
Pidgey,Pidgey,
Pidgeotto,Pidgey,
Pidgeot,Pidgey,
Rattata,Rattata,
Raticate,Rattata,
Spearow,Spearow,
Fearow,Spearow,
Ekans,Ekans,
Arbok,Ekans,
Pikachu,Pichu,
Raichu,Pichu,
Sandshrew,Sandshrew,
Sandslash,Sandshrew,
Nidoran♀,Nidoran♀,
Nidoran♀,Nidoran♂,
Nidoran♂,Nidoran♀,
Nidoran♂,Nidoran♂,
Nidorino,Nidoran♀,
Nidorino,Nidoran♂,
Nidoking,Nidoran♀,
Nidoking,Nidoran♂,
Clefairy,Cleffa,
Clefable,Cleffa,
Vulpix,Vulpix,
Ninetales,Vulpix,
Jigglypuff,Igglybuff,
Wigglytuff,Igglybuff,
Zubat,Zubat,
Golbat,Zubat,
Oddish,Oddish,
Gloom,Oddish,
Vileplume,Oddish,
Paras,Paras,
Parasect,Paras,
Venonat,Venonat,
Venomoth,Venonat,
Diglett,Diglett,
Dugtrio,Diglett,
Meowth,Meowth,
Persian,Meowth,
Psyduck,Psyduck,
Golduck,Psyduck,
Mankey,Mankey,
Primeape,Mankey,
Growlithe,Growlithe,
Arcanine,Growlithe,
Poliwag,Poliwag,
Poliwhirl,Poliwag,
Poliwrath,Poliwag,
Abra,Abra,
Kadabra,Abra,
Alakazam,Abra,
Machop,Machop,
Machoke,Machop,
Machamp,Machop,
Bellsprout,Bellsprout,
Weepinbell,Bellsprout,
Victreebel,Bellsprout,
Tentacool,Tentacool,
Tentacruel,Tentacool,
Geodude,Geodude,
Graveler,Geodude,
Golem,Geodude,
Ponyta,Ponyta,
Rapidash,Ponyta,
Slowpoke,Slowpoke,
Slowbro,Slowpoke,
Magnemite,Magnemite,
Magneton,Magnemite,
Farfetch'd,Farfetch'd,
Doduo,Doduo,
Dodrio,Doduo,
Seel,Seel,
Dewgong,Seel,
Grimer,Grimer,
Muk,Grimer,
Shellder,Shellder,
Cloyster,Shellder,
Gastly,Gastly,
Haunter,Gastly,
Gengar,Gastly,
Onix,Onix,
Drowzee,Drowzee,
Hypno,Drowzee,
Krabby,Krabby,
Kingler,Krabby,
Voltorb,Voltorb,
Electrode,Voltorb,
Exeggcute,Exeggcute,
Exeggutor,Exeggcute,
Cubone,Cubone,
Marowak,Cubone,
Hitmonlee,Tyrogue,
Hitmonchan,Tyrogue,
Lickitung,Lickitung,
Koffing,Koffing,
Weezing,Koffing,
Rhyhorn,Rhyhorn,
Rhydon,Rhyhorn,
Chansey,Chansey,
Chansey,Happiny,Luck Incense
Tangela,Tangela,
Kangaskhan,Kangaskhan,
Horsea,Horsea,
Seadra,Horsea,
Goldeen,Goldeen,
Seaking,Goldeen,
Staryu,Staryu,
Starmie,Staryu,
Mr. Mime,Mr. Mime,
Mr. Mime,Mime Jr.,Odd Incense
Scyther,Scyther,
Jynx,Smoochum,
Electabuzz,Elekid,
Magmar,Magby,
Pinsir,Pinsir,
Tauros,Tauros,
Magikarp,Magikarp
Gyarados,Magikarp,
Lapras,Lapras,
Eevee,Eevee,
Vaporeon,Eevee,
Jolteon,Eevee,
Flareon,Eevee,
Porygon,Porygon,
Omanyte,Omanyte,
Omastar,Omanyte,
Kabuto,Kabuto,
Kabutops,Kabuto,
Aerodactyl,Aerodactyl,
Snorlax,Snorlax,
Snorlax,Munchlax,Full Incense
Dratini,Dratini,
Dragonair,Dratini,
Dragonite,Dratini,
Chikorita,Chikorita,
Bayleef,Chikorita,
Meganium,Chikorita,
Cyndaquil,Cyndaquil,
Quilava,Cyndaquil,
Typhlosion,Cyndaquil,
Totodile,Totodile,
Croconaw,Totodile,
Feraligatr,Totodile,
Sentret,Sentret,
Furret,Sentret,
Hoothoot,Hoothoot,
Noctowl,Hoothoot,
Ledyba,Ledyba,
Ledian,Ledyba,
Spinarak,Spinarak,
Ariados,Spinarak,
Crobat,Zubat,
Chinchou,Chinchou,
Lanturn,Chinchou,
Togetic,Togepi,
Natu,Natu,
Xatu,Natu,
Mareep,Mareep,
Flaaffy,Mareep,
Ampharos,Mareep,
Bellossom,Oddish,
Marill,Marill,
Marill,Azurill,Sea Incense
Azumarill,Marill,
Azumarill,Azurill,Sea Incense
Sudowoodo,Sudowoodo,
Sudowoodo,Bonsly,Rock Incense
Politoed,Poliwag,
Hoppip,Hoppip,
Skiploom,Hoppip,
Jumpluff,Hoppip,
Aipom,Aipom,
Sunkern,Sunkern,
Sunflora,Sunkern,
Yanma,Yanma,
Wooper,Wooper,
Quagsire,Wooper,
Espeon,Eevee,
Umbreon,Eevee,
Murkrow,Murkrow,
Slowking,Slowpoke,
Misdreavus,Misdreavus,
Wobbuffet,Wobbuffet,
Wobbuffet,Wynaut,Lax Incense
Girafarig,Girafarig,
Pineco,Pineco,
Forretress,Pineco,
Dunsparce,Dunsparce,
Gligar,Gligar,
Steelix,Onix,
Snubbull,Snubbull,
Granbull,Snubbull,
Qwilfish,Qwilfish,
Scizor,Scyther,
Shuckle,Shuckle,
Heracross,Heracross,
Sneasel,Sneasel,
Teddiursa,Teddiursa,
Ursaring,Teddiursa,
Slugma,Slugma,
Magcargo,Slugma,
Swinub,Swinub,
Piloswine,Swinub,
Corsola,Corsola,
Remoraid,Remoraid,
Octillery,Remoraid,
Delibird,Delibird,
Mantine,Mantine,
Mantine,Mantyke,Wave Incense
Skarmory,Skarmory,
Houndour,Houndour,
Houndoom,Houndour,
Kingdra,Horsea,
Phanpy,Phanpy,
Donphan,Phanpy,
Porygon2,Porygon,
Stantler,Stantler,
Smeargle,Smeargle,
Hitmontop,Tyrogue,
Miltank,Miltank,
Blissey,Chansey,
Blissey,Happiny,Luck Incense
Larvitar,Larvitar,
Pupitar,Larvitar,
Tyranitar,Larvitar,
Treecko,Treecko,
Grovyle,Treecko,
Sceptile,Treecko,
Torchic,Torchic,
Combusken,Torchic,
Blaziken,Torchic,
Mudkip,Mudkip,
Marshtomp,Mudkip,
Swampert,Mudkip,
Poochyena,Poochyena,
Mightyena,Poochyena,
Zigzagoon,Zigzagoon,
Linoone,Zigzagoon,
Wurmple,Wurmple,
Silcoon,Wurmple,
Beautifly,Wurmple,
Cascoon,Wurmple,
Dustox,Wurmple,
Lotad,Lotad,
Lombre,Lotad,
Ludicolo,Lotad,
Seedot,Seedot,
Nuzleaf,Seedot,
Shiftry,Seedot,
Taillow,Taillow,
Swellow,Taillow,
Wingull,Wingull,
Pelipper,Wingull,
Ralts,Ralts,
Kirlia,Ralts,
Gardevoir,Ralts,
Surskit,Surskit,
Masquerain,Surskit,
Shroomish,Shroomish,
Breloom,Shroomish,
Slakoth,Slakoth,
Vigoroth,Slakoth,
Slaking,Slakoth,
Nincada,Nincada,
Ninjask,Nincada,
Shedinja,Nincada,
Whismur,Whismur,
Loudred,Whismur,
Exploud,Whismur,
Makuhita,Makuhita,
Hariyama,Makuhita,
Nosepass,Nosepass,
Skitty,Skitty,
Delcatty,Skitty,
Sableye,Sableye,
Mawile,Mawile,
Aron,Aron,
Lairon,Aron,
Aggron,Aron,
Meditite,Meditite,
Medicham,Meditite,
Electrike,Electrike,
Manectric,Electrike,
Plusle,Plusle,
Minun,Minun,
Volbeat,Volbeat,
Volbeat,Illumise,
Illumise,Volbeat,
Illumise,Illumise,
Roselia,Roselia,
Roselia,Budew,Rose Incense
Gulpin,Gulpin,
Swalot,Gulpin,
Carvanha,Carvanha,
Sharpedo,Carvanha,
Wailmer,Wailmer,
Wailord,Wailmer,
Numel,Numel,
Camerupt,Numel,
Torkoal,Torkoal,
Spoink,Spoink,
Grumpig,Spoink,
Spinda,Spinda,
Trapinch,Trapinch,
Vibrava,Trapinch,
Flygon,Trapinch,
Cacnea,Cacnea,
Cacturne,Cacnea,
Swablu,Swablu,
Altaria,Swablu,
Zangoose,Zangoose,
Seviper,Seviper,
Lunatone,Lunatone,
Solrock,Solrock,
Barboach,Barboach,
Whiscash,Barboach,
Corphish,Corphish,
Crawdaunt,Corphish,
Baltoy,Baltoy,
Claydol,Baltoy,
Lileep,Lileep,
Cradily,Lileep,
Anorith,Anorith,
Armaldo,Anorith,
Feebas,Feebas,
Milotic,Feebas,
Castform,Castform,
Kecleon,Kecleon,
Shuppet,Shuppet,
Banette,Shuppet,
Duskull,Duskull,
Dusclops,Duskull,
Tropius,Tropius,
Chimecho,Chimecho,
Chimecho,Chingling,Pure Incense
Absol,Absol,
Snorunt,Snorunt,
Glalie,Snorunt,
Spheal,Spheal,
Sealeo,Spheal,
Walrein,Spheal,
Clamperl,Clamperl,
Huntail,Clamperl,
Gorebyss,Clamperl,
Relicanth,Relicanth,
Luvdisc,Luvdisc,
Bagon,Bagon,
Shelgon,Bagon,
Salamence,Bagon,
Beldum,Beldum,
Metang,Beldum,
Metagross,Beldum,
Turtwig,Turtwig,
Grotle,Turtwig,
Torterra,Turtwig,
Chimchar,Chimchar,
Monferno,Chimchar,
Infernape,Chimchar,
Piplup,Piplup,
Prinplup,Piplup,
Empoleon,Piplup,
Starly,Starly,
Staravia,Starly,
Staraptor,Starly,
Bidoof,Bidoof,
Bibarel,Bidoof,
Kricketot,Kricketot,
Kricketune,Kricketot,
Shinx,Shinx,
Luxio,Shinx,
Luxray,Shinx,
Roserade,Roselia,
Roserade,Budew,Rose Incense
Cranidos,Cranidos,
Rampardos,Cranidos,
Shieldon,Shieldon,
Bastiodon,Shieldon,
Burmy_Plant Cloak,Burmy_Plant Cloak,
Burmy_Sandy Cloak,Burmy_Sandy Cloak,
Burmy_Trash Cloak,Burmy_Trash Cloak,
Wormadam_Plant Cloak,Burmy_Plant Cloak,
Wormadam_Sandy Cloak,Burmy_Sandy Cloak,
Wormadam_Trash Cloak,Burmy_Trash Cloak,
Mothim,Burmy_Plant Cloak,
Combee,Combee,
Vespiquen,Combee,
Pachirisu,Pachirisu,
Buizel,Buizel,
Floatzel,Buizel,
Cherubi,Cherubi,
Cherrim_Overcast,Cherubi,
Shellos_West Sea,Shellos_West Sea,
Shellos_East Sea,Shellos_East Sea,
Gastrodon_West Sea,Shellos_West Sea,
Gastrodon_East Sea,Shellos_East Sea,
Ambipom,Aipom,
Drifloon,Drifloon,
Drifblim,Drifloon,
Buneary,Buneary,
Lopunny,Buneary,
Mismagius,Misdreavus,
Honchkrow,Murkrow,
Glameow,Glameow,
Purugly,Glameow,
Stunky,Stunky,
Skuntank,Stunky,
Bronzor,Bronzor,
Bronzong,Bronzor,
Chatot,Chatot,
Spiritomb,Spiritomb,
Gible,Gible,
Gabite,Gible,
Garchomp,Gible,
Lucario,Riolu,
Hippopotas,Hippopotas,
Hippowdon,Hippopotas,
Skorupi,Skorupi,
Drapion,Skorupi,
Croagunk,Croagunk,
Toxicroak,Croagunk,
Carnivine,Carnivine,
Finneon,Finneon,
Lumineon,Finneon,
Snover,Snover,
Abomasnow,Snover,
Weavile,Sneasel,
Magnezone,Magneton,
Lickilicky,Lickitung,
Rhyperior,Rhyhorn,
Tangrowth,Tangela,
Electivire,Elekid,
Magmortar,Magby,
Togekiss,Togepi,
Yanmega,Yanma,
Leafeon,Eevee,
Glaceon,Eevee,
Gliscor,Gligar,
Mamoswine,Swinub,
Porygon-Z,Porygon,
Gallade,Ralts,
Probopass,Nosepass,
Dusknoir,Duskull,
Froslass,Snorunt,
Rotom,Rotom,
Rotom_Heat,Rotom,
Rotom_Wash,Rotom,
Rotom_Frost,Rotom,
Rotom_Fan,Rotom,
Rotom_Mow,Rotom,
Phione,Phione,
Manaphy,Phione,
Snivy,Snivy,
Servine,Snivy,
Serperior,Snivy,
Tepig,Tepig,
Pignite,Tepig,
Emboar,Tepig,
Oshawott,Oshawott,
Dewott,Oshawott,
Samurott,Oshawott,
Patrat,Patrat,
Watchog,Patrat,
Lillipup,Lillipup,
Herdier,Lillipup,
Stoutland,Lillipup,
Purrloin,Purrloin,
Liepard,Purrloin,
Pansage,Pansage,
Simisage,Pansage,
Pansear,Pansear,
Simisear,Pansear,
Panpour,Panpour,
Simipour,Panpour,
Munna,Munna,
Musharna,Munna,
Pidove,Pidove,
Tranquill,Pidove,
Unfezant,Pidove,
Blitzle,Blitzle,
Zebstrika,Blitzle,
Roggenrola,Roggenrola,
Boldore,Roggenrola,
Gigalith,Roggenrola,
Woobat,Woobat,
Swoobat,Woobat,
Drilbur,Drilbur,
Excadrill,Drilbur,
Audino,Audino,
Timburr,Timburr,
Gurdurr,Timburr,
Conkeldurr,Timburr,
Tympole,Tympole,
Palpitoad,Tympole,
Seismitoad,Tympole,
Throh,Throh,
Sawk,Sawk,
Sewaddle,Sewaddle,
Swadloon,Sewaddle,
Leavanny,Sewaddle,
Venipede,Venipede,
Whirlipede,Venipede,
Scolipede,Venipede,
Cottonee,Cottonee,
Whimsicott,Cottonee,
Petilil,Petilil,
Lilligant,Petilil,
Basculin_Red-Striped,Basculin_Red-Striped,
Basculin_Blue-Striped,Basculin_Blue-Striped,
Sandile,Sandile,
Krokorok,Sandile,
Krookodile,Sandile,
Darumaka,Darumaka,
Darumaka_ZENMODE,Darumaka_ZENMODE,
Darmanitan,Darumaka,
Darmanitan_ZENMODE,Darumaka_ZENMODE,
Maractus,Maractus,
Dwebble,Dwebble,
Crustle,Dwebble,
Scraggy,Scraggy,
Scrafty,Scraggy,
Sigilyph,Sigilyph,
Yamask,Yamask,
Cofagrigus,Yamask,
Tirtouga,Tirtouga,
Carracosta,Tirtouga,
Archen,Archen,
Archeops,Archen,
Trubbish,Trubbish,
Garbodor,Trubbish,
Zorua,Zorua,
Zoroark,Zorua,
Minccino,Minccino,
Cinccino,Minccino,
Gothita,Gothita,
Gothorita,Gothita,
Gothitelle,Gothita,
Solosis,Solosis,
Duosion,Solosis,
Reuniclus,Solosis,
Ducklett,Ducklett,
Swanna,Ducklett,
Vanillite,Vanillite,
Vanillish,Vanillite,
Vanilluxe,Vanillite,
Deerling_Spring,Deerling_Spring,
Deerling_Summer,Deerling_Summer,
Deerling_Autumn,Deerling_Autumn,
Deerling_Winter,Deerling_Winter,
Sawsbuck_Spring,Deerling_Spring,
Sawsbuck_Summer,Deerling_Summer,
Sawsbuck_Autumn,Deerling_Autumn,
Sawsbuck_Winter,Deerling_Winter,
Emolga,Emolga,
Karrablast,Karrablast,
Escavalier,Karrablast,
Foongus,Foongus,
Amoonguss,Foongus,
Frillish,Frillish,
Jellicent,Frillish,
Alomomola,Alomomola,
Joltik,Joltik,
Galvantula,Joltik,
Ferroseed,Ferroseed,
Ferrothorn,Ferroseed,
Klink,Klink,
Klang,Klink,
Klinklang,Klink,
Tynamo,Tynamo,
Eelektrik,Tynamo,
Eelektross,Tynamo,
Elgyem,Elgyem,
Beheeyem,Elgyem,
Litwick,Litwick,
Lampent,Litwick,
Chandelure,Litwick,
Axew,Axew,
Fraxure,Axew,
Haxorus,Axew,
Cubchoo,Cubchoo,
Beartic,Cubchoo,
Cryogonal,Cryogonal,
Shelmet,Shelmet,
Accelgor,Shelmet,
Stunfisk,Stunfisk,
Mienfoo,Mienfoo,
Mienshao,Mienfoo,
Druddigon,Druddigon,
Golett,Golett,
Golurk,Golett,
Pawniard,Pawniard,
Bisharp,Pawniard,
Bouffalant,Bouffalant,
Rufflet,Rufflet,
Braviary,Rufflet,
Vullaby,Vullaby,
Mandibuzz,Vullaby,
Heatmor,Heatmor,
Durant,Durant,
Deino,Deino,
Zweilous,Deino,
Hydreigon,Deino,
Larvesta,Larvesta,
Volcarona,Larvesta,
